2023-06-26 21:01:16

top - 21:01:16 up  5:17,  1 user,  load average: 0.30, 0.08, 0.03
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.2 us, 12.2 sy,  0.0 ni, 73.2 id,  0.0 wa,  0.0 hi,  2.4 si,  0.0 st
MiB Mem :   3151.4 total,    764.5 free,    936.7 used,   1450.2 buff/cache
MiB Swap:   2140.0 total,   2140.0 free,      0.0 used.   1946.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3568 mohammd   20   0   23076   6148   4224 S   0.0   0.2   0:00.45 bash
   4138 mohammd   20   0    7968   5396   4328 S   0.0   0.2   0:00.01 ssh-agent
   4531 root      20   0  444348  72952  27256 S   0.0   2.3   0:01.88 fwupd
   4566 mohammd   20   0   22940   5968   4228 S   0.0   0.2   0:00.18 bash
 192916 root      20   0   21508   4016   3752 S   0.0   0.1   0:00.19 bash
 193041 root      20   0   21508   4028   3764 S   0.0   0.1   0:00.18 bash
 196896 root      20   0  311012   9348   8408 S   0.0   0.3   0:00.25 fprintd
 196918 mohammd   20   0 2807448  61596  46292 S   0.0   1.9   0:00.52 gjs
 196978 mohammd   20   0   21640   4088   3704 S   0.0   0.1   0:00.00 resource_monito
 196981 mohammd   20   0   21640   1880   1412 S   0.0   0.1   0:00.00 resource_monito
 196983 mohammd   20   0   25508   3488   3252 S   0.0   0.1   0:00.00 awk

The following programs are using more than 10% CPU or memory: 
top 
systemd-journal 
gnome-shell 
